[{'timestamp': 'Jun 18 2018 09:18:58', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:58', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:18:59', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:00', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:01', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:02', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:03', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:04', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:05', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:06', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:07', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:08', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:08', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:09', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:10', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:11', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:12', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:13', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:14', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:14', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:15', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:16', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:17', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:18', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:19', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:20', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:20', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:21', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:22', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:23', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:24', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:25', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:26', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:26', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:27', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:28', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:29', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:30', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:31', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:32', 'pm2.5': 32}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:33', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:33', 'pm2.5': 31}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:34', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:35', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:36', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:37', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:38', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:39', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:39', 'pm2.5': 30}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:40', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:41', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:42', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:43', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:44', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:45', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:45', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:46', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:47', 'pm2.5': 29}, {'isSent': False}]
[{'timestamp': 'Jun 18 2018 09:19:48', 'pm2.5': 29}, {'isSent': False}]
